CustomerID,Recency,Frequency,Monetary,Cluster
12348.0,76,4,1797.24,1
12349.0,19,1,1757.55,0
12350.0,311,1,334.4,2
12352.0,37,8,2506.04,1
12353.0,205,1,89.0,2
12354.0,233,1,1079.4,2
12355.0,215,1,459.4,2
12356.0,23,3,2811.43,1
12358.0,2,2,1168.06,0
12360.0,53,3,2662.06,1
12361.0,288,1,189.9,2
12363.0,110,2,552.0,0
12364.0,8,4,1313.1,1
12365.0,292,2,641.38,2
12367.0,5,1,168.9,0
12371.0,45,2,1887.96,1
12372.0,72,3,1298.04,0
12373.0,312,1,364.6,2
12374.0,26,1,742.9300000000001,0
12375.0,11,2,457.5,0
12377.0,316,2,1628.12,2
12379.0,82,2,852.24,0
12380.0,22,4,2724.81,1
12381.0,5,5,1845.31,1
12383.0,185,5,1850.56,1
12384.0,29,2,585.27,0
12388.0,16,6,2780.66,1
12390.0,80,1,549.84,0
12391.0,22,1,460.89,0
12393.0,73,4,1582.6,1
12394.0,64,2,1272.48,0
12397.0,36,2,2409.9,1
12398.0,46,1,1635.66,0
12399.0,120,4,1108.65,0
12401.0,304,1,84.3,2
12402.0,324,1,225.6,2
12403.0,50,1,427.7,0
12405.0,149,1,1710.39,0
12407.0,50,5,1708.12,1
12408.0,33,5,2888.55,1
12410.0,309,2,693.3299999999999,2
12412.0,75,3,1226.88,0
12413.0,67,3,758.1,0
12414.0,218,3,562.41,2
12418.0,113,1,668.58,0
12420.0,64,1,600.39,0
12421.0,16,4,807.04,0
12422.0,96,3,803.5600000000001,0
12423.0,1,8,1859.31,1
12424.0,163,2,1760.96,2
12425.0,79,1,777.2,0
12426.0,195,1,582.73,2
12427.0,22,3,825.8,0
12430.0,44,1,256.4,0
12434.0,85,2,806.14,0
12436.0,100,1,509.01,0
12438.0,15,2,2906.85,1
12442.0,4,1,172.06,0
12445.0,23,1,133.4,0
12446.0,58,1,1002.31,0
12447.0,244,1,476.49,2
12448.0,45,1,449.45,0
12450.0,157,2,197.88,2
12452.0,17,2,430.57,0
12453.0,135,1,707.09,0
12455.0,74,6,2466.86,1
12457.0,67,7,2363.23,1
12458.0,72,2,947.4,0
12461.0,95,2,826.88,0
12462.0,19,2,1189.59,0
12463.0,54,4,1344.78,1
12464.0,11,8,1212.05,1
12465.0,18,2,742.1899999999999,0
12468.0,188,2,729.5400000000001,2
12475.0,54,1,723.38,0
12478.0,4,1,680.99,0
12479.0,12,1,527.2,0
12483.0,18,8,2484.98,1
12488.0,10,3,1298.66,0
12491.0,39,1,460.4,0
12492.0,64,2,263.21000000000004,0
12493.0,166,2,433.74,2
12494.0,16,7,1246.1,1
12497.0,82,1,1043.1,0
12498.0,22,3,403.7000000000001,0
12504.0,19,2,482.05,0
12506.0,233,1,73.5,2
12507.0,135,3,1304.81,0
12508.0,27,2,398.27,0
12509.0,285,1,176.5,2
12510.0,143,2,982.57,0
12512.0,67,2,138.03,0
12513.0,113,1,612.29,0
12514.0,268,1,1017.68,2
12516.0,78,2,1312.06,0
12517.0,29,5,2502.84,1
12518.0,1,5,2056.89,1
12519.0,64,1,340.84,0
12520.0,80,5,2634.26,1
12521.0,143,1,599.68,2
12522.0,40,2,192.72,0
12523.0,20,11,1789.77,1
12526.0,1,3,1316.66,0
12527.0,82,3,348.71000000000004,0
12528.0,10,6,1933.48,1
12530.0,60,4,1662.28,1
12531.0,15,1,125.22,0
12532.0,31,1,349.83000000000004,0
12534.0,131,1,1089.18,0
12535.0,92,2,716.35,0
12538.0,30,1,363.95,0
12541.0,30,3,981.18,0
12544.0,37,1,372.7,0
12545.0,76,2,1000.39,0
12546.0,47,2,1161.5,0
12547.0,198,2,207.8,2
12548.0,167,1,95.2,2
12550.0,80,1,964.83,0
12552.0,39,2,437.82,0
12556.0,51,2,603.71,0
12558.0,8,1,269.96,0
12559.0,311,2,561.71,2
12560.0,6,3,2134.01,1
12561.0,303,1,238.85,2
12564.0,262,1,456.9,2
12565.0,289,1,145.92,2
12566.0,87,1,351.65,0
12571.0,40,2,519.61,0
12572.0,9,2,1020.42,0
12573.0,228,1,160.54000000000002,2
12574.0,316,1,218.45,2
12576.0,36,5,1315.83,1
12577.0,36,3,657.8,0
12578.0,22,2,2794.51,1
12579.0,79,1,440.42,0
12580.0,247,1,415.7,2
12581.0,40,1,197.71,0
12582.0,239,2,511.36,2
12584.0,4,9,2338.15,1
12585.0,235,2,2040.1,2
12586.0,18,1,196.94000000000003,0
12587.0,8,1,144.0,0
12588.0,40,1,214.9,0
12589.0,29,2,646.68,0
12591.0,318,1,452.85,2
12592.0,93,2,437.6,0
12593.0,109,3,418.1,0
12596.0,52,2,618.27,0
12598.0,10,8,3023.08,1
12599.0,30,7,1032.58,1
12600.0,29,10,2599.04,1
12601.0,190,5,577.0600000000001,2
12602.0,59,1,153.12,0
12603.0,22,1,739.1999999999999,0
12604.0,80,2,254.18,0
12607.0,61,1,1579.51,0
12609.0,79,3,1126.85,0
12610.0,23,5,2099.54,1
12611.0,53,1,1193.32,0
12612.0,75,1,704.0400000000001,0
12614.0,278,1,315.6,2
12615.0,3,4,2291.19,1
12616.0,96,2,713.3,0
12617.0,30,1,355.53,0
12618.0,22,1,177.31,0
12620.0,15,3,1339.41,0
12622.0,233,1,180.1,2
12623.0,277,1,305.1,2
12624.0,107,2,641.13,0
12625.0,212,2,2683.82,1
12628.0,5,3,786.46,0
12630.0,10,2,1270.88,0
12631.0,58,1,640.5,0
12633.0,59,4,2163.98,1
12635.0,90,2,1689.18,0
12638.0,34,1,671.69,0
12639.0,239,1,486.1,2
12640.0,24,3,1174.58,0
12641.0,116,1,185.9,0
12642.0,26,3,1013.26,0
12644.0,130,1,477.91,0
12645.0,34,4,1775.18,1
12646.0,5,2,1346.97,0
12648.0,155,1,318.05,2
12649.0,108,3,623.51,0
12650.0,4,1,314.44,0
12653.0,149,2,2209.85,1
12654.0,11,5,601.98,0
12657.0,12,4,1643.18,1
12658.0,19,1,686.05,0
12659.0,30,1,91.68,0
12660.0,12,1,245.1,0
12665.0,325,1,63.0,2
